name,counta,money,totalPerformances,type
La Cage Aux Folles '10,56,29057813,433,Musical
Leap Of Faith,6,1343840,19,Musical
Legally Blonde,79,56338126,595,Musical
Lennon,12,3596685,49,Musical
Les Miserables,365,171395852,2907,Musical
Les Miserables '14,129,105089275,1000,Musical
Les Miserables 2006,61,35140652,463,Musical
Lestat,10,4630419,39,Musical
Little Me,18,3266231,99,Musical
Little Shop Of Horrors,52,20607589,372,Musical
Little Women,24,9793281,137,Musical
Lovemusik,11,2494723,60,Musical
Lysistrata Jones,9,1391172,30,Musical
Mamma Mia!,725,624391693,5758,Musical
Man Of La Mancha 02,41,22483426,304,Musical
Marie Christine,11,2982095,42,Musical
Marlene,5,681313,25,Musical
Martin Short: Fame Becomes Me,24,10842526,165,Musical
Mary Poppins,334,294558648,2619,Musical
Matilda,180,180252576,1394,Musical
Memphis,150,104453840,1165,Musical
Million Dollar Quartet,66,28585196,489,Musical
Miss Saigon,489,272191859,3885,Musical
Monty Python'S Spamalot,202,168067350,1575,Musical
Motown The Musical,97,115002552,738,Musical
Motown The Musical 2016,3,1496081,24,Musical
Movin' Out,167,99919701,1303,Musical
Never Gonna Dance,16,6287836,84,Musical
Newsies,128,109000717,1004,Musical
Next To Normal,95,31764486,733,Musical
Nice Work If You Can Get It,64,51461746,478,Musical
Nine,39,24448759,283,Musical
Oklahoma!,53,34961595,388,Musical
On A Clear Day You Can See Forever,12,7253179,57,Musical
On The Town,13,5236292,69,Musical
On The Town 2014,51,30840328,368,Musical
On The Twentieth Century,23,11298280,144,Musical
On Your Feet!,45,44153666,322,Musical
Once,149,110306780,1168,Musical
Once Upon A Mattress,28,7991729,188,Musical
One Mo' Time,5,514302,21,Musical
Pacific Overtures,12,3770036,69,Musical
Pal Joey,16,5574587,85,Musical
Parade,16,4349262,85,Musical
Paramour,18,16566410,94,Musical
Passing Strange,24,5161374,165,Musical
Peter Pan 98,28,13806567,214,Musical
Pippin,94,68840074,709,Musical
Play On!,10,1402692,61,Musical
Porgy And Bess '11,41,26381453,293,Musical
Priscilla Queen Of The Desert,69,48763901,526,Musical
"Promises, Promises",41,42951936,289,Musical
Putting It Together,17,5371370,101,Musical
Ragtime,108,79947694,834,Musical
Ragtime '09,12,6030275,65,Musical
Rain: A Tribute To The Beatles On Broadway,38,18014434,300,Musical
Rent,639,271555789,5091,Musical
Ring Of Fire,12,2775120,57,Musical
Riverdance,78,45553810,605,Musical
Rock Of Ages,295,128956082,2328,Musical
Rocky,27,19222100,180,Musical
Saturday Night Fever,66,37585638,501,Musical
Scandalous,9,1718924,29,Musical
School Of Rock,40,41726964,288,Musical
Seussical,29,12927734,198,Musical
She Loves Me 2016,21,11744157,132,Musical
Show Boat,94,71365915,738,Musical
Shrek The Musical,61,46361426,441,Musical
Shuffle Along,19,15174445,100,Musical
Side Show,16,4315283,91,Musical
Side Show 2014,10,4963029,56,Musical
Sister Act,75,52509237,561,Musical
Smokey Joe'S Cafe,258,88346877,2036,Musical
Something Rotten!,73,60312720,548,Musical
Sondheim On Sondheim,15,5352642,76,Musical
Soul Doctor,13,1940459,66,Musical
South Pacific,130,96488869,996,Musical
Spider-Man Turn Off The Dark,160,212406040,1066,Musical
Spring Awakening,112,57441834,859,Musical
Spring Awakening 2015,20,9182156,135,Musical
Squonk,7,466157,32,Musical
State Fair,5,790556,40,Musical
Steel Pier,14,5587523,76,Musical
Street Corner Symphony,14,1090010,79,Musical
Sunday In The Park With George '08,23,8812815,149,Musical
Sunset Boulevard,99,66992540,770,Musical
Swan Lake,18,7027858,124,Musical
Sweeney Todd 05,48,22218240,349,Musical
Sweet Charity 05,38,18653757,279,Musical
Sweet Smell Of Success,17,7860322,109,Musical
Swing!,63,24623691,461,Musical
Taboo,15,4894998,100,Musical
Tango Argentino '99,9,1929363,63,Musical
Tarzan,68,42722858,486,Musical
The 25Th Annual Putnam County Spelling Bee,145,45625516,1136,Musical
The Addams Family,95,86677092,722,Musical
The Adventures Of Tom Sawyer,7,2211829,21,Musical
The Apple Tree,15,4777523,99,Musical
The Book Of Mormon,286,437403089,2258,Musical
The Boy From Oz,51,42738338,364,Musical
The Boys From Syracuse,13,3286075,73,Musical
The Bridges Of Madison County,18,6729931,100,Musical
The Capeman,17,8038402,68,Musical
The Civil War,12,3524775,61,Musical
The Color Purple,119,103992566,910,Musical
The Color Purple 2015,40,30362144,282,Musical
The Drowsy Chaperone,89,63565088,674,Musical
The Frogs,16,7691480,92,Musical
The Full Monty,101,47862021,770,Musical
The Gershwins' Fascinating Rhythm,6,970692,17,Musical
The Green Bird,10,1787997,56,Musical
The King And I 2015,68,57045053,499,Musical
The King And I 96,91,42863180,728,Musical
The Last Ship,17,11156287,105,Musical
The Life,61,18961995,466,Musical
The Light In The Piazza,68,28777131,504,Musical
The Lion King,980,1289388835,7803,Musical
The Little Mermaid,94,82993600,685,Musical
The Look Of Love,11,2344600,49,Musical
The Music Man,91,45976995,699,Musical
The Mystery Of Edwin Drood '12,21,7191342,136,Musical
The Pajama Game,22,8885204,129,Musical
The People In The Picture,12,2469422,60,Musical
The Phantom Of The Opera,1053,790512187,8400,Musical
The Pirate Queen,15,9054539,85,Musical
The Producers,318,288361724,2502,Musical
The Rocky Horror Show,59,13431400,437,Musical
The Scarlet Pimpernel,103,40692704,772,Musical
The Scottsboro Boys,10,2750411,49,Musical
The Sound Of Music,72,34483971,533,Musical
The Story Of My Life,3,264611,5,Musical
The Threepenny Opera,14,5806155,77,Musical
The Times They Are A-Changin',8,2636161,28,Musical
The Visit 2015,12,2432521,61,Musical
The Wedding Singer,40,19995744,285,Musical
The Wild Party,14,3919522,68,Musical
The Woman In White,17,10445368,109,Musical
Thoroughly Modern Millie,118,75616509,903,Musical
Thou Shalt Not,15,3894953,85,Musical
Titanic,105,57150546,804,Musical
Title Of Show,15,2188129,102,Musical
Tommy,1,229369,8,Musical
Triumph Of Love,15,3700422,85,Musical
Tuck Everlasting,9,2943941,39,Musical
Urban Cowboy,12,1288667,60,Musical
Urinetown,125,34815864,965,Musical
Victor/Victoria,69,40484107,526,Musical
Violet,20,6616618,128,Musical
Waitress,21,20033709,129,Musical
West Side Story,97,93028454,748,Musical
Wicked,669,1039921344,5335,Musical
Women On The Verge Of A Nervous Breakdown,13,4820272,69,Musical
Wonderful Town,65,29830255,497,Musical
Wonderland,8,4438971,33,Musical
Xanadu,71,17126310,512,Musical
"You'Re A Good Man, Charlie Brown",21,3630774,149,Musical
Young Frankenstein,65,64053200,485,Musical
