name,counta,money,totalPerformances,type,theatre
Private Lives '11,9,2773632,53,Play,Music Box
Private Lives 02,20,7083941,127,Play,Richard Rodgers
"Promises, Promises",41,42951936,289,Musical,Broadway
Proof,117,32896994,917,Play,Walter Kerr
Proposals,11,2172196,77,Play,Broadhurst
Prune Danish,8,2080448,39,Play,Royale
Prymate,4,111855,5,Play,Longacre
Putting It Together,17,5371370,101,Musical,Ethel Barrymore
Pygmalion 07,13,3558323,69,Play,American Airlines
Qed,28,2165492,40,Play,Vivian Beaumont
Rabbit Hole,13,3203305,77,Play,Biltmore
Race,40,14939910,297,Play,Ethel Barrymore
Radio Golf,11,1825735,64,Play,Cort
Ragtime,108,79947694,834,Musical,Ford Center (Livent)
Ragtime '09,12,6030275,65,Musical,Neil Simon
Rain: A Tribute To The Beatles On Broadway,38,18014434,300,Musical,Neil Simon
Reasons To Be Pretty,14,1936204,85,Play,Lyceum
Reckless,13,3004690,77,Play,Biltmore
Red,16,6835696,101,Play,Golden
Relatively Speaking,19,10077527,117,Play,Brooks Atkinson
Rent,639,271555789,5091,Musical,Nederlander
Ring Of Fire,12,2775120,57,Musical,Ethel Barrymore
Ring Round The Moon,13,1282880,66,Play,Belasco
Riverdance,78,45553810,605,Musical,Gershwin
Rock 'N' Roll,19,6767495,123,Play,Jacobs
Rock Of Ages,295,128956082,2328,Musical,Brooks Atkinson
Rocky,27,19222100,180,Musical,Winter Garden
Romeo And Juliet,16,6208798,93,Play,Richard Rodgers
Rose,8,1230595,42,Play,Lyceum
Running On Empty,2,997676,8,Special,Richard Rodgers
Sacrilege,4,357454,21,Play,Belasco
Salome,10,3702428,40,Play,Ethel Barrymore
Saturday Night Fever,66,37585638,501,Musical,Minskoff
"Say Goodnight, Gracie",49,5874615,364,Play,Helen Hayes
Scandalous,9,1718924,29,Musical,Neil Simon
School For Scandal,1,27661,1,Play,Lyceum
School Of Rock,40,41726964,288,Musical,Winter Garden
Seascape,11,1526743,55,Play,Booth
Seminar,28,9819692,191,Play,Golden
Seussical,29,12927734,198,Musical,Richard Rodgers
Seven Guitars,15,2428850,120,Play,Walter Kerr
Sex And Longing,10,1474936,46,Play,Cort
Sexaholix '01,18,5337342,67,Play,Royale
Sexaholix '03,4,990923,28,Play,Broadway
Shatner'S World: We Just Live In It,3,914006,17,Special,Music Box
She Loves Me 2016,21,11744157,132,Musical,Studio 54
Shining City,13,3217082,80,Play,Biltmore
Show Boat,94,71365915,738,Musical,Gershwin
Shrek The Musical,61,46361426,441,Musical,Broadway
Shuffle Along,19,15174445,100,Musical,Music Box
Side Man,68,9808327,517,Play,Criterion
Side Show,16,4315283,91,Musical,Richard Rodgers
Side Show 2014,10,4963029,56,Musical,St. James
Sight Unseen,12,2724614,70,Play,Biltmore
Sister Act,75,52509237,561,Musical,Broadway
Six Dance Lessons In Six Weeks,7,716751,30,Play,Belasco
Sixteen Wounded,5,509381,12,Play,Walter Kerr
Skylight,16,4514236,116,Play,Royale
Skylight 2015,14,10126159,85,Play,Golden
Slava'S Snowshow,5,1435574,35,Special,Helen Hayes
Sly Fox,25,8121077,173,Play,Ethel Barrymore
Smokey Joe'S Cafe,258,88346877,2036,Musical,Virginia
Something Rotten!,73,60312720,548,Musical,St. James
Sondheim On Sondheim,15,5352642,76,Musical,Studio 54
Soul Doctor,13,1940459,66,Musical,Circle In The Square
Soul Of Shaolin,3,1225360,21,Special,Marquis
South Pacific,130,96488869,996,Musical,Vivian Beaumont
Souvenir,11,945935,68,Play,Lyceum
Speed The Plow '08,21,8477093,140,Play,Ethel Barrymore
Spider-Man Turn Off The Dark,160,212406040,1066,Musical,Foxwoods
Spring Awakening,112,57441834,859,Musical,Eugene O'Neill
Spring Awakening 2015,20,9182156,135,Musical,Brooks Atkinson
Squonk,7,466157,32,Musical,Helen Hayes
Stanley,12,1197565,77,Play,Circle In The Square
State Fair,5,790556,40,Musical,Music Box
Steel Magnolias,20,4139622,136,Play,Lyceum
Steel Pier,14,5587523,76,Musical,Richard Rodgers
Stick Fly,15,4262543,93,Play,Cort
Stones In His Pockets,27,5141100,198,Play,Golden
Street Corner Symphony,14,1090010,79,Musical,Brooks Atkinson
Summer And Smoke,10,1194418,53,Play,Criterion
Sunday In The Park With George '08,23,8812815,149,Musical,Studio 54
Sunset Boulevard,99,66992540,770,Musical,Minskoff
Superior Donuts,16,4239113,109,Play,Music Box
Swan Lake,18,7027858,124,Musical,Neil Simon
Sweeney Todd 05,48,22218240,349,Musical,Eugene O'Neill
Sweet Charity 05,38,18653757,279,Musical,Al Hirschfeld
Sweet Smell Of Success,17,7860322,109,Musical,Martin Beck
Swing!,63,24623691,461,Musical,St. James
Sylvia,14,4453376,79,Play,Cort
Taboo,15,4894998,100,Musical,Plymouth
Take Me Out,48,10975816,355,Play,Walter Kerr
Taking Sides,13,1723675,85,Play,Brooks Atkinson
Talk Radio,19,4489013,121,Play,Longacre
Taller Than A Dwarf,12,2557061,56,Play,Longacre
Tango Argentino '99,9,1929363,63,Musical,Gershwin
Tartuffe 03,12,2638852,53,Play,American Airlines
Tartuffe 96,4,171763,29,Play,Circle In The Square
Tarzan,68,42722858,486,Musical,Richard Rodgers
That Championship Season,16,8443019,97,Play,Jacobs
The 25Th Annual Putnam County Spelling Bee,145,45625516,1136,Musical,Circle In The Square
The 39 Steps,100,22104342,771,Play,American Airlines
The Addams Family,95,86677092,722,Musical,Lunt-Fontanne
The Adventures Of Tom Sawyer,7,2211829,21,Musical,Minskoff
The American Plan,12,2001797,70,Play,Friedman
The Anarchist,5,1651411,17,Play,Golden
The Apple Tree,15,4777523,99,Musical,Studio 54
The Assembled Parties,19,5402056,119,Play,Friedman
The Audience,20,22072987,114,Play,Schoenfeld
The Beauty Queen Of Leenane,48,12496388,365,Play,Walter Kerr
The Big Knife,11,2337664,56,Play,American Airlines
The Blonde In The Thunderbird,3,191165,9,Play,Brooks Atkinson
The Blue Room,14,4589721,81,Play,Cort
The Book Of Mormon,286,437403089,2258,Musical,Eugene O'Neill
The Boy From Oz,51,42738338,364,Musical,Imperial
The Boys From Syracuse,13,3286075,73,Musical,American Airlines
The Bridges Of Madison County,18,6729931,100,Musical,Schoenfeld
The Caine Mutiny Court-Martial,6,945803,17,Play,Schoenfeld
The Capeman,17,8038402,68,Musical,Marquis
The Caretaker 03,11,2156333,63,Play,American Airlines
The Chairs,12,1830517,74,Play,Golden
The Cherry Orchard,2,800000,12,Play,Martin Beck
The Civil War,12,3524775,61,Musical,St. James
The Coast Of Utopia,29,11762335,121,Play,Vivian Beaumont
The Color Purple,119,103992566,910,Musical,Broadway
The Color Purple 2015,40,30362144,282,Musical,Jacobs
The Columnist,14,3505086,86,Play,Friedman
The Constant Wife,13,3365506,77,Play,American Airlines
The Country Girl,16,5949235,97,Play,Jacobs
The Country House,11,2383928,61,Play,Friedman
The Cripple Of Inishmaan,15,7845617,105,Play,Cort
The Crucible 02,17,7657715,101,Play,Virginia
The Crucible 2016,20,11687115,125,Play,Walter Kerr
The Curious Incident Of The Dog In The Night-Time,101,66641346,775,Play,Ethel Barrymore
The Deep Blue Sea,12,1379259,61,Play,Criterion
The Diary Of Anne Frank,30,6086337,221,Play,Music Box
The Dinner Party,48,13974313,364,Play,Music Box
The Drowsy Chaperone,89,63565088,674,Musical,Marquis
The Elephant Man,10,1574221,57,Play,Royale
The Elephant Man 2014,16,14717696,83,Play,Booth
The Farnsworth Invention,18,4512535,104,Play,Music Box
The Father 2016,13,3419470,78,Play,Friedman
The Frogs,16,7691480,92,Musical,Vivian Beaumont
The Full Monty,101,47862021,770,Musical,Eugene O'Neill
The Gathering,5,360983,24,Play,Cort
The Gershwins' Fascinating Rhythm,6,970692,17,Musical,Longacre
The Gin Game,21,2260537,145,Play,Lyceum
The Gin Game 2015,16,5514614,92,Play,Golden
The Glass Menagerie '13,25,14107163,173,Play,Booth
The Glass Menagerie 05,19,4573842,120,Play,Ethel Barrymore
"The Goat, Or Who Is Sylvia?",43,7932478,309,Play,Golden
The Good Body,9,843035,40,Play,Booth
The Graduate,51,17834908,380,Play,Plymouth
The Green Bird,10,1787997,56,Musical,Cort
The Heidi Chronicles 2015,10,3257022,53,Play,Music Box
The Heiress '12,19,9604456,117,Play,Walter Kerr
The Herbal Bed,5,371767,13,Play,Eugene O'Neill
The History Boys,25,16775002,185,Play,Broadhurst
The Homecoming 07,19,4267706,137,Play,Cort
The House Of Blue Leaves '11,12,5707721,72,Play,Walter Kerr
The Humans,28,11515021,189,Play,Helen Hayes
The Iceman Cometh 99,16,8200517,102,Play,Brooks Atkinson
The Illusionists - Live On Broadway,7,6785761,64,Special,Neil Simon
The Illusionists - Witness The Impossible,6,8157068,45,Special,Marquis
The Importance Of Being Earnest,28,8012925,189,Play,American Airlines
The Invention Of Love,18,3918862,108,Play,Lyceum
The Judas Kiss,15,4629082,103,Play,Broadhurst
The King And I 2015,68,57045053,499,Musical,Vivian Beaumont
The King And I 96,91,42863180,728,Musical,Neil Simon
The Last Night Of Ballyhoo,73,11548547,556,Play,Helen Hayes
The Last Ship,17,11156287,105,Musical,Neil Simon
The Lieutenant Of Inishmore,20,3808107,142,Play,Lyceum
The Life,61,18961995,466,Musical,Ethel Barrymore
The Light In The Piazza,68,28777131,504,Musical,Vivian Beaumont
The Lion In Winter,15,2099821,93,Play,Criterion
The Lion King,980,1289388835,7803,Musical,New Amsterdam
The Little Dog Laughed,17,3345956,112,Play,Cort
The Little Foxes,11,1759936,57,Play,Vivian Beaumont
The Little Mermaid,94,82993600,685,Musical,Lunt-Fontanne
The Lonesome West,8,619334,55,Play,Lyceum
The Look Of Love,11,2344600,49,Musical,Brooks Atkinson
The Lyons,13,2509091,80,Play,Cort
The Man Who Came To Dinner,15,3854225,85,Play,American Airlines
The Man Who Had All The Luck,11,2610518,70,Play,American Airlines
The Merchant Of Venice '10,15,15335104,73,Play,Broadhurst
The Miracle Worker,8,1687067,38,Play,Circle In The Square
The Motherf**Ker With The Hat,18,10451323,112,Play,Schoenfeld
The Mountaintop,18,10864181,117,Play,Jacobs
The Music Man,91,45976995,699,Musical,Neil Simon
The Mystery Of Charles Dickens,4,253992,20,Play,Belasco
The Mystery Of Edwin Drood '12,21,7191342,136,Musical,Studio 54
The Nance,21,8563126,136,Play,Lyceum
The Normal Heart,12,4237705,86,Play,Golden
The Norman Conquests,16,4229582,109,Play,Circle In The Square
The Odd Couple 05,35,28938436,249,Play,Brooks Atkinson
The Old Neighborhood,26,3820480,197,Play,Booth
The Other Place,12,2876466,61,Play,Friedman
The Pajama Game,22,8885204,129,Musical,American Airlines
The Pee-Wee Herman Show,10,6296959,62,Play,Stephen Sondheim
The People In The Picture,12,2469422,60,Musical,Studio 54
The Performers,4,737219,6,Play,Longacre
The Phantom Of The Opera,1053,790512187,8400,Musical,Majestic
The Philanthropist,12,2463705,73,Play,American Airlines
The Pillowman,26,8946186,185,Play,Booth
The Pirate Queen,15,9054539,85,Musical,Hilton Theatre
The Pitmen Painters,13,2531130,86,Play,Friedman
The Play What I Wrote,15,2530951,89,Play,Lyceum
The Play'S The Thing,1,32682,0,Play,Criterion
The Price 99,19,3013098,128,Play,Royale
The Producers,318,288361724,2502,Musical,St. James
The Rainmaker,14,3321242,82,Play,Brooks Atkinson
The Rascals: Once Upon A Dream,3,2245793,14,Special,Richard Rodgers
The Real Thing '00,20,5645810,136,Play,Ethel Barrymore
The Real Thing 2014,14,6214364,76,Play,American Airlines
The Realistic Joneses,17,8209761,105,Play,Lyceum
The Rehearsal,11,1147712,55,Play,Criterion
The Retreat From Moscow,22,4496405,147,Play,Booth
The Ride Down Mt. Morgan,18,3948515,121,Play,Ambassador
The Ritz,13,3438536,69,Play,Studio 54
The Rivals,9,2275152,45,Play,Vivian Beaumont
The River,15,10827016,97,Play,Circle In The Square
The Road To Mecca,12,2082656,56,Play,American Airlines
The Rocky Horror Show,59,13431400,437,Musical,Circle In The Square
The Rose Tattoo,11,1039948,73,Play,Circle In The Square
The Royal Family,13,2627586,77,Play,Friedman
The Scarlet Pimpernel,103,40692704,772,Musical,Minskoff
The Scottsboro Boys,10,2750411,49,Musical,Lyceum
The Seafarer,20,4512348,133,Play,Booth
The Seagull 08,14,6430741,94,Play,Walter Kerr
The Search For Signs Of Intelligent Life In The Universe 00,28,5562894,184,Play,Booth
The Shadow Box,9,636598,49,Play,Circle In The Square
The Sisters Rosensweig,72,19086077,556,Play,Ethel Barrymore
The Smell Of The Kill,8,533380,40,Play,Helen Hayes
The Snow Geese,11,2376183,60,Play,Friedman
The Sound Of Music,72,34483971,533,Musical,Martin Beck
The Story Of My Life,3,264611,5,Musical,Booth
The Sunshine Boys,31,5023827,230,Play,Lyceum
The Tale Of The Allergist'S Wife,101,29310727,777,Play,Ethel Barrymore
The Tempest,12,4609277,70,Play,Broadhurst
The Temptations And The Four Tops On Broadway,1,819461,7,Special,Palace
The Testament Of Mary,6,1279803,16,Play,Walter Kerr
The Threepenny Opera,14,5806155,77,Musical,Studio 54
The Times They Are A-Changin',8,2636161,28,Musical,Brooks Atkinson
The Trip To Bountiful,29,13498945,187,Play,Stephen Sondheim
The Velocity Of Autumn,5,544617,16,Play,Booth
The Vertical Hour,18,7308875,117,Play,Music Box
The Violet Hour,10,2037981,54,Play,Biltmore
The Visit 2015,12,2432521,61,Musical,Lyceum
The Wedding Singer,40,19995744,285,Musical,Al Hirschfeld
The Weir,36,6874875,277,Play,Walter Kerr
The Wild Party,14,3919522,68,Musical,Virginia
The Winslow Boy,11,2392300,53,Play,American Airlines
The Woman In White,17,10445368,109,Musical,Marquis
The Women,14,4183178,77,Play,American Airlines
The Year Of Magical Thinking,24,7293267,144,Play,Booth
The Young Man From Atlanta,13,1340187,84,Play,Longacre
This Is Our Youth,20,7229324,133,Play,Cort
Thoroughly Modern Millie,118,75616509,903,Musical,Marquis
Thou Shalt Not,15,3894953,85,Musical,Plymouth
Three Days Of Rain,12,11427896,70,Play,Jacobs
Three Sisters,11,1708904,61,Play,Criterion
Thurgood,19,4613166,126,Play,Booth
Th�r�se Raquin,14,5184011,75,Play,Studio 54
Time Stands Still,31,10428041,193,Play,Friedman
Titanic,105,57150546,804,Musical,Lunt-Fontanne
Title Of Show,15,2188129,102,Musical,Lyceum
To Be Or Not To Be,9,1166048,40,Play,Friedman
Tommy,1,229369,8,Musical,St. James
Top Girls,11,2211556,63,Play,Biltmore
Topdog / Underdog,22,5405007,144,Play,Ambassador
Translations 06,10,2141231,53,Play,Biltmore
Triumph Of Love,15,3700422,85,Musical,Royale
Tru,1,134456,8,Play,Booth
True West,24,5035352,154,Play,Circle In The Square
Tuck Everlasting,9,2943941,39,Musical,Broadhurst
Twelfth Night,11,3602900,53,Play,Vivian Beaumont
Twelfth Night/Richard Iii,18,13930965,113,Play,Belasco
Twelve Angry Men,33,9325569,228,Play,American Airlines
Twentieth Century,14,3869161,84,Play,American Airlines
Uncle Vanya,7,421847,29,Play,Circle In The Square
Uncle Vanya 00,10,2366742,49,Play,Brooks Atkinson
Urban Cowboy,12,1288667,60,Musical,Broadhurst
Urinetown,125,34815864,965,Musical,Henry Miller
Vanya And Sonia And Masha And Spike,25,13130430,189,Play,Golden
Venus In Fur,29,9550145,191,Play,Friedman
Via Dolorosa,15,1751272,99,Play,Booth
Victor/Victoria,69,40484107,526,Musical,Marquis
Vincent In Brixton,12,1915989,69,Play,Golden
Violet,20,6616618,128,Musical,American Airlines
Voices In The Dark,11,1245034,68,Play,Longacre
Wait Until Dark,14,4125132,97,Play,Brooks Atkinson
Waiting For Godot,15,6908255,84,Play,Studio 54
Waiting In The Wings,26,6513905,183,Play,Walter Kerr
Waitress,21,20033709,129,Musical,Brooks Atkinson
War Horse,95,74975253,718,Play,Vivian Beaumont
Well,10,1162288,52,Play,Longacre
West Side Story,97,93028454,748,Musical,Palace
Who'S Afraid Of Virginia Woolf?,26,6574830,177,Play,Longacre
Who'S Afraid Of Virginia Woolf? '12,23,6444452,142,Play,Booth
Whoopi,13,2584289,72,Play,Lyceum
Wicked,669,1039921344,5335,Musical,Gershwin
Wishful Drinking,17,5649906,118,Play,Studio 54
Wit,11,2302405,60,Play,Friedman
Wolf Hall Parts One & Two,16,9970896,103,Play,Winter Garden
Women On The Verge Of A Nervous Breakdown,13,4820272,69,Musical,Belasco
Wonderful Town,65,29830255,497,Musical,Al Hirschfeld
Wonderland,8,4438971,33,Musical,Marquis
Wrong Mountain,6,418284,28,Play,Eugene O'Neill
Xanadu,71,17126310,512,Musical,Helen Hayes
You Can'T Take It With You,26,13227324,169,Play,Longacre
"You'Re A Good Man, Charlie Brown",21,3630774,149,Musical,Ambassador
You'Re Welcome America. A Final Night With George W. Bush,8,6723050,46,Special,Cort
Young Frankenstein,65,64053200,485,Musical,Hilton Theatre
Grand Total,31296,18654569593,226108,,
