name,counta,money,totalPerformances,type,theatre
Bloody Bloody Andrew Jackson,15,5629559,94,Musical,Jacobs
Bobbi Boland,1,100389,0,Play,Cort
Boeing-Boeing,38,13951563,279,Play,Longacre
Bombay Dreams,40,22437579,284,Musical,Broadway
Bonnie And Clyde,9,3277347,36,Musical,Schoenfeld
Born Yesterday '11,13,2792677,73,Play,Cort
Breakfast At Tiffany'S,7,2475937,38,Play,Cort
Bridge And Tunnel,30,6135555,213,Play,Helen Hayes
Brief Encounter,17,5210372,111,Play,Studio 54
Bright Star,18,7474494,109,Musical,Cort
Brighton Beach Memoirs '09,5,539369,9,Play,Nederlander
"Bring In Da Noise, Bring In Da Funk",144,54448939,1135,Musical,Ambassador
Bring It On The Musical,25,11410177,171,Musical,St. James
Broken Glass,11,1393461,73,Play,Booth
Bronx Bombers,8,1212059,29,Play,Circle In The Square
Brooklyn,40,10108600,284,Musical,Plymouth
Brooklyn Boy,11,2135668,62,Play,Biltmore
Bullets Over Broadway,24,18176367,156,Musical,St. James
Buried Child,11,1361820,72,Play,Brooks Atkinson
Burn The Floor,25,9285678,185,Musical,Longacre
Bus Stop,7,650106,29,Play,Circle In The Square
Butley,15,5424237,94,Play,Booth
Buttons On Broadway,1,27020,3,Special,Ambassador
By Jeeves,11,2090954,73,Musical,Helen Hayes
Bye Bye Birdie,20,11485459,117,Musical,Henry Miller (Rndabt)
Cabaret '14,54,41150028,388,Musical,Studio 54
Cabaret 98,304,119389439,2377,Musical,Kit Kat Klub
Candide,15,5065916,104,Musical,Gershwin
"Caroline, Or Change",20,7527718,136,Musical,Eugene O'Neill
Casa Valentina,13,3028464,79,Play,Friedman
Cat On A Hot Tin Roof '12,15,11661203,84,Play,Richard Rodgers
Cat On A Hot Tin Roof 03,22,8898242,145,Play,Music Box
Cat On A Hot Tin Roof 08,19,12603337,125,Play,Broadhurst
Catch Me If You Can,26,16863570,166,Musical,Neil Simon
Cats,251,106573965,2008,Musical,Winter Garden
Cats 2016,5,4404457,17,Musical,Neil Simon
Chaplin,20,8518390,135,Musical,Ethel Barrymore
Chicago,1032,560575239,8202,Musical,Richard Rodgers
China Doll,15,12630662,54,Play,Schoenfeld
Chinglish,16,4325401,109,Play,Longacre
Chita Rivera: The Dancer'S Life,13,3563420,72,Musical,Schoenfeld
Chitty Chitty Bang Bang,41,27509505,285,Musical,Hilton Theatre
Chronicle Of A Death Foretold,1,103769,0,Musical,Plymouth
Cinderella,102,88166620,769,Musical,Broadway
Cirque Dreams: Jungle Fantasy,10,5166140,70,Special,Broadway
Closer,24,5318897,172,Play,Music Box
Clybourne Park,23,8767402,157,Play,Walter Kerr
Colin Quinn - An Irish Wake,4,241753,22,Play,Helen Hayes
Colin Quinn: Long Story Short,20,3075662,135,Play,Helen Hayes
Collected Stories,10,1348639,54,Play,Friedman
"Come Back, Little Sheba",11,2052427,58,Play,Biltmore
Come Fly Away,27,18368158,188,Musical,Marquis
Company 06,35,12312349,246,Musical,Ethel Barrymore
Company 95,1,173012,0,Musical,Criterion
Constellations,13,6642180,76,Play,Friedman
Contact,131,60218526,1010,Musical,Vivian Beaumont
Copenhagen,44,11570839,326,Play,Royale
Coram Boy,6,1602370,30,Play,Imperial
Cry Baby,15,4077104,68,Musical,Marquis
Curtains,68,43628368,511,Musical,Al Hirschfeld
Cymbeline,10,2080001,40,Play,Vivian Beaumont
Cyrano De Bergerac,11,8098290,56,Play,Richard Rodgers
Cyrano De Bergerac '12,11,2369149,52,Play,American Airlines
Dame Edna:  Back With A Vengeance,26,7021853,163,Play,Music Box
Dame Edna: The Royal Tour,42,9815693,297,Play,Booth
Dames At Sea,15,2540354,85,Musical,Helen Hayes
Dance Of Death,17,5426431,108,Play,Broadhurst
Dance Of The Vampires,15,9431254,56,Musical,Minskoff
Danny Gans On Broadway,2,84362,6,Special,Neil Simon
Dead Accounts,9,3089827,44,Play,Music Box
Death Of A Salesman '12,16,12868982,78,Play,Ethel Barrymore
Death Of A Salesman 99,40,15190655,274,Play,Eugene O'Neill
Def Poetry Jam,27,3377597,198,Play,Longacre
Defending The Caveman,77,8314428,467,Play,Helen Hayes
Democracy,24,7091677,173,Play,Brooks Atkinson
Design For Living 01,13,2984209,69,Play,American Airlines
Desire Under The Elms,6,1381950,32,Play,St. James
Deuce,19,5361739,121,Play,Music Box
Dinner At Eight,10,2606844,45,Play,Vivian Beaumont
Dirty Blonde,47,7925422,352,Play,Helen Hayes
Dirty Rotten Scoundrels,83,58033865,627,Musical,Imperial
Disaster!,13,4293431,72,Musical,Nederlander
Disgraced,23,8534968,149,Play,Lyceum
Dividing The Estate,11,2796827,50,Play,Booth
Doctor Zhivago,7,3197457,23,Musical,Broadway
Don'T Dress For Dinner,12,2130070,61,Play,American Airlines
Donny & Marie: A Broadway Christmas,4,2843463,20,Special,Marquis
Doubt,69,27656473,525,Play,Walter Kerr
Dr. Seuss' How The Grinch Stole Christmas!,11,13343784,107,Musical,Hilton Theatre
Dr. Seuss' How The Grinch Stole Christmas! 07,9,9559565,96,Musical,St. James
"Dracula, The Musical",23,6109526,157,Musical,Belasco
Dream: The Johnny Mercer Musical,17,3311853,109,Musical,Royale
Dreams And Nightmares,5,6033691,55,Special,Martin Beck
Driving Miss Daisy,27,13586627,180,Play,Golden
Drowning Crow,10,1619255,54,Play,Biltmore
